eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location,fieldNumber,fieldNotes
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A19,,Quadrat count,0.25,m^2,"POLYGON ((566797.108136059 4076558.89497065,566797.4645269 4076559.29668717,566797.866243416 4076558.94029633,566797.509852575 4076558.53857981,566797.108136059 4076558.89497065))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A19,,Quadrat count,0.25,m^2,"POLYGON ((566797.991787447 4076558.96550218,566798.31568018 4076559.33122542,566798.681403424 4076559.00733269,566798.357510692 4076558.64160945,566797.991787447 4076558.96550218))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A19,,Quadrat count,0.25,m^2,"POLYGON ((566798.379615126 4076558.4471258,566798.735378039 4076558.12270468,566798.410956916 4076557.76694176,566798.055194003 4076558.09136289,566798.379615126 4076558.4471258))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A19_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A19,,Quadrat count,0.25,m^2,"POLYGON ((566797.909297284 4076558.09323996,566797.59338761 4076557.71139916,566797.211546811 4076558.02730883,566797.527456484 4076558.40914963,566797.909297284 4076558.09323996))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 3 | G-C-,
CSIC-EEZ:SERPAM:AMOLADERAS_A23_QW,CSIC-EEZ:SERPAM:AMOLADERAS_A23,,Quadrat count,0.25,m^2,"POLYGON ((566988.14783055 4076779.57453603,566988.480604716 4076779.97706571,566988.883134389 4076779.64429154,566988.550360222 4076779.24176187,566988.14783055 4076779.57453603))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A23_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A23,,Quadrat count,0.25,m^2,"POLYGON ((566989.356198208 4076779.28708648,566989.008312437 4076779.62025487,566989.341480831 4076779.96814064,566989.689366601 4076779.63497225,566989.356198208 4076779.28708648))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A23_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A23,,Quadrat count,0.25,m^2,"POLYGON ((566989.054644896 4076778.66178942,566989.341186255 4076779.09655866,566989.775955491 4076778.8100173,566989.489414133 4076778.37524806,566989.054644896 4076778.66178942))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A23_QS,CSIC-EEZ:SERPAM:AMOLADERAS_A23,,Quadrat count,0.25,m^2,"POLYGON ((566988.550002886 4076779.10343024,566988.951323798 4076778.74272972,566988.59062328 4076778.34140881,566988.189302368 4076778.70210933,566988.550002886 4076779.10343024))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G-C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A24_QE,CSIC-EEZ:SERPAM:AMOLADERAS_A24,,Quadrat count,0.25,m^2,"POLYGON ((567007.476530514 4076778.33864536,567007.882440841 4076778.05379848,567007.597593962 4076777.64788815,567007.191683635 4076777.93273503,567007.476530514 4076778.33864536))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,
CSIC-EEZ:SERPAM:AMOLADERAS_A24_QN,CSIC-EEZ:SERPAM:AMOLADERAS_A24,,Quadrat count,0.25,m^2,"POLYGON ((567007.506663297 4076778.49475261,567007.121158676 4076778.78635128,567007.412757345 4076779.1718559,567007.798261966 4076778.88025723,567007.506663297 4076778.49475261))",epsg:25830,ES,AL,Cabo de Gata,Amoladeras,Bloque 4 | G+C+,
