eventID,parentEventID,eventDate,samplingProtocol,sampleSizeValue,sampleSizeUnit,footprintWKT,footprintSRS,countryCode,stateProvinde,municipality,location
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QS,20230112,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QE,20230112,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW_20230112,CSIC-EEZ:SERPAM:AMOLADERAS_A10_QW,20230112,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN,20100323,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW,20100323,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS,20100323,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20100323,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE,20100323,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS,20110208,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW,20110208,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN,20110208,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20110208,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE,20110208,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW,20120121,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS,20120121,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QE,20120121,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN_20120121,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QN,20120121,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QS,20130116,Quadrat count,0.25,m^2,,,,,,
CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW_20130116,CSIC-EEZ:SERPAM:AMOLADERAS_A11_QW,20130116,Quadrat count,0.25,m^2,,,,,,
